Department,MAE,MAPE,R2
ALL,289524.9173353879,0.029160699592442867,0.9841249258509372
G&A,87336.54123709956,0.013616147326579264,0.2507615853445484
Marketing,206079.52089965902,0.03431831951487205,-0.7620464410867664
Operations,401715.925705052,0.033695645622264306,-2.783969718619526
R&D,347306.2417790531,0.029816158861150556,-5.4918266211514215
Sales,405186.3570560757,0.03435722663734819,-38.87501418289006
